,0
141,-0.8379189594797398
142,1.0
143,1.0
144,-1.0
145,1.0
146,-1.0
147,0.8529264632316158
148,1.0
149,0.7528764382191095
150,-1.0
151,0.6698349174587295
152,0.07453726863431731
153,-1.0
154,1.0
155,-1.0
156,-0.35967983991996
157,-1.0
158,1.0
159,1.0
160,-1.0
161,-1.0
162,-0.02851425712856437
163,-0.23961980990495257
164,-0.13156578289144583
165,0.48474237118559294
166,1.0
167,-1.0
168,1.0
169,1.0
170,-0.7958979489744873
171,0.8959479739869936
172,0.4437218609304652
173,1.0
174,-1.0
175,1.0
176,1.0
177,0.18559279639819914
178,0.4357178589294648
179,-0.48074037018509264
180,-0.026513256628314275
181,1.0
182,1.0
183,0.8969484742371185
184,1.0
185,-1.0
186,-1.0
187,0.3686843421710855
188,-0.09354677338669337
189,1.0
190,-0.214607303651826
191,-1.0
192,-1.0
193,-0.6778389194597298
194,1.0
195,-0.6278139069534767
196,-0.10255127563781896
197,1.0
198,-0.18559279639819914
199,-0.8049024512256129
200,1.0
201,-1.0
202,0.2316158079039521
203,0.551775887943972
204,0.3366683341670835
205,1.0
206,-1.0
207,0.3666833416708355
208,-1.0
209,-0.9879939969984992
210,-1.0
211,0.9089544772386193
212,1.0
213,-1.0
214,-0.19259629814907464
215,-0.8119059529764883
216,-1.0
217,0.149574787393697
218,-0.5847923961980991
219,-1.0
220,0.9359679839919961
221,0.08854427213606808
222,-1.0
223,1.0
224,-0.25762881440720364
225,-1.0
226,1.0
227,0.17758879439719877
228,-0.888944472236118
229,0.9819909954977488
230,0.26063031515757884
231,0.16558279139569798
232,0.4207103551775888
233,-1.0
234,1.0
235,0.9109554777388695
236,1.0
237,-0.06953476738369191
238,1.0
239,-0.0775387693846924
240,0.8379189594797398
241,0.9629814907453726
242,-0.7788894447223612
243,-1.0
244,1.0
245,-1.0
246,-1.0
247,1.0
248,0.01950975487743878
249,-1.0
250,0.7358679339669836
251,0.599799899949975
252,-1.0
253,0.32766383191595794
254,-1.0
255,0.7848924462231115
256,0.3476738369184593
257,-0.20260130065032522
258,1.0
259,-0.6168084042021011
260,-0.7198599299649825
261,1.0
262,-0.0005002501250626068
263,-0.45372686343171587
264,1.0
265,0.9639819909954979
266,-0.04852426213106564
267,1.0
268,-0.5267633816908455
269,-0.7698849424712356
270,0.4907453726863431
271,1.0
272,-0.012506253126563394
273,-0.3466733366683342
274,-1.0
275,0.7568784392196097
276,-0.9479739869934968
277,0.7028514257128564
278,0.3606803401700851
279,1.0
280,-1.0
281,-1.0
282,-1.0
283,0.7178589294647324
284,-0.7848924462231116
285,-1.0
286,1.0
287,-1.0
288,-1.0
289,1.0
290,-0.2816408204102051
291,-0.0035017508754378035
292,-1.0
293,-0.4167083541770886
294,1.0
295,-0.4937468734367184
296,-1.0
297,-0.1425712856428215
298,0.09454727363681847
299,1.0
300,1.0
301,-1.0
302,1.0
303,-0.6048024012006004
304,-1.0
305,-0.20160080040020012
306,0.27863931965983
307,-0.7818909454727364
308,-0.7748874437218609
309,1.0
310,0.5487743871935968
311,1.0
312,1.0
313,-0.38169084542271137
314,-0.9869934967483742
315,1.0
316,-1.0
317,-0.8699349674837419
318,-1.0
319,1.0
320,0.5137568784392197
321,-1.0
322,-0.6748374187093547
323,-1.0
324,0.9969984992496248
325,1.0
326,1.0
327,-0.824912456228114
328,-1.0
329,-0.12756378189094553
330,1.0
331,0.8839419709854928
332,1.0
333,1.0
334,-1.0
335,1.0
336,-1.0
337,-0.6858429214607304
338,0.06253126563281652
339,-1.0
340,-0.5377688844422212
341,-1.0
342,0.39369684842421204
343,-1.0
344,0.12856428214107063
345,-0.13356678339169592
346,-1.0
347,0.8199099549774889
348,-1.0
349,-1.0
350,-1.0
351,0.45572786393196596
352,-0.16158079039519768
353,0.2896448224112056
354,-0.1465732866433217
355,-0.4887443721860931
356,-0.40270135067533774
357,-1.0
358,-0.47673836918459234
359,0.18459229614807415
360,-0.4117058529264632
361,-0.04852426213106564
362,0.0725362681340671
363,1.0
364,0.6628314157078539
365,1.0
366,-1.0
367,-0.7688844422211105
368,1.0
369,-0.48274137068534273
370,-1.0
371,0.5397698849424712
372,-0.5727863931965984
373,-1.0
374,-1.0
375,-0.6038019009504753
376,-1.0
377,0.17458729364682357
378,-1.0
379,-1.0
380,0.7558779389694847
381,0.09554777388694347
382,0.13456728364182102
383,-0.2076038019009505
384,-1.0
385,1.0
386,-1.0
387,0.19759879939969993
388,0.7628814407203601
389,0.8069034517258629
390,-0.6698349174587294
391,0.9119559779889945
392,0.009504752376188197
393,-1.0
394,1.0
395,-0.6218109054527263
396,-0.5087543771885943
397,0.9649824912456229
398,1.0
399,0.7628814407203601
